sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
11,Chicken With Mushroom Sauce ,Chicken With Mushroom Sauce Recipe is a classic combination that leaves you drooling to try more.,Continental,Non Vegeterian,10,15,"To begin making the Chicken With Mushroom Sauce Recipe, we will first wash the chicken breast and mash it with a meat shredder. Make sure the thickness is about 1-1/2 inches.Marinate the chicken breast with salt, black pepper powder and keep it aside for 10 minutes.Heat a skillet with the required butter. Once the butter starts to melt, you can place the chicken breast and cook it from both the sides. This will take abou 5 to 6 minutes.Remove the chicken breast from the pan and keep it aside.�In to the same pan, add some more butter and add chopped garlic. Saute until it softens.Add chopped onions and sauté till they caramelize. Next, add chopped mushroom, salt and dried herbs and cook till the mushroom losses all its moisture and becomes a little soft.In a separate bowl, mix milk and corn flour till it combines. Make sure there are no lumps in this mixture.Reduce the flame and pour the milk mixture and gently swirl. You will see the sauce starts to thicken up.Once the sauce thickens up, switch off the heat.Add the chicken breast into the sauce mixture and soak it well. Cover the pan with the help of a foil and leave the chicken to rest in the sauce for at least 10 minutes.Serve the�Chicken With Mushroom Sauce�Recipe along with�Toasted Bread,Bunsor�Garlic Bread�and a glass of chilled wine for a Sunday brunch or a Saturday dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl_sunitha/Chicken_With_Mushroom_Sauce_Recipe_.jpg
12,Masala Vada Curry - Chana Dal Vada Curry,Masala Vada Curry Recipe also known as the Chana Dal Vada curry is a delicious South Indian curry made from masala vada cooked in a tomato onion gravy.,South Indian Recipes,Vegetarian,30,30,"To begin making the Masala Vada Curry Recipe/ Chana Dal Vada Curry recipe, thoroughly wash and soak chana dal for 2 hours.Once the dal is soaked, coarse grind chana dal with the ingredients for making the base -dry red chili, curry leaves, fennel seeds and salt. Just sprinkle water while grinding, the masala vada batter should be thick.Spoon the masala vada batter on a Idli plates and steam it exactly like how we steam Idli. Or you can pan fry the Vada batter in a paniyaram pan with a little oil until it browned and crisp. The later gives a delicious taste to the Masala Vada Curry.Ensure you drizzle oil while pan frying the vada in the paniyaram pan.Meantime, we can start making the curry. Heat oil in a heavy bottomed pan on medium flame, add whole black pepper, cloves, cinnamon, bay leaf, slit green chili, curry leaves, ginger, garlic and onions. Make sure to remove few seeds from green chili if you want to make it less spicy.Once the onion turns golden, add the tomato puree and all�the masala powders - turmeric powder, red chili powder, coriander powder, chili powder and salt. Let it cook for 2 to 3 minutes until the masala curry comes to a brisk boil.Add required water and let the curry masala cook for a few minutes. Once the masala is cooked, drop in the masala vada into the curry mixture.Cover it with a lid and cook the Masala Vada Curry on a medium flame. The masala vada curry will absorb all the water and become thick. This will take around 5 to 7 minutes.Finally add chopped mint leaves and give the Masala Vada Curry a stir and serve.Serve Masala Vada Curry along with�Tawa Paratha,�Palak Raita�and�Satvik Carrot Sprout Salad�for a weekday meal. You can also serve this curry along with�Ghee Roast Dosa�or a�Karnataka Style Set Dosa Recipe",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Masala_Vada_Curry_Recipe-13_1600.jpg
13,Karwar Style Kairichi Udid Methi (Raw Mango Methi Curry),Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry)�is a Konkani style raw mango curry.,Karnataka,Vegetarian,10,20,"To begin making the Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry), chop raw mango into bite sized pieces. Into the pressure cooker, add� turmeric powder, salt and 1/4 cup of water and pressure cook for 3 whistles.Meanwhile, in a small pan, roast the urad dal, fenugreek seeds, rice and red chillies till crisp.�Grind this along with coconut adding little water and make a smooth paste.When the raw mangoes are cooked add the ground masala to it. Add salt, jaggery and few curry leaves.�Mix everything well and bring the Kairichi Udid Methi Curry to boil. Add some water to get the desired consistencyThe next step is to prepare the tempering. Add oil in a small tadka pan and when its hot add mustard seeds, hing and few curry leaves. Pour into Kairichi Udid Methi and it is ready to be served.Serve�Karwar Style Kairichi Udid Methi Recipe (Raw Mango Methi Curry) along with�Punjabi Style Tinda Sabji,�Palak Raita�and�Phulka�for your everyday meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Udid_Meti_Karwar_Style_Green_Mango_Curry_With_Methi.jpg
14,Tandoori Mayonnaise Chicken Cigar,Tandoori chicken is one of the most delicious spicy chicken according to me.,Continental,Non Vegeterian,30,60,"To begin making the Tandoori Mayonnaise Chicken Cigar recipe, clean and wash chicken well. Sprinkle salt and pepper powder over the chicken. Grease the aluminium foil lined on baking tray with olive oil or butter.Roast the chicken in oven for about 15 to 20 minutes at 170 degree centigrade. Chicken has to be cooked(not over cooked). Remove the chicken from oven, and cut them into small pieces.Add corn flour to water and mix well to remove all lumps and make a paste. Keep aside.Place a tortilla on the floor, scoop a tablespoon full of roasted chicken pieces on one side of the tortilla.Drizzle a good amount of DelMonte Tandoori Mayonnaise over the chicken. Apply the corn starch paste all over the edges. Start folding the tortillas and make a cigar shaped wrap. Make sure to seal the edges really well, if not the chicken will fall out of the wrap while frying. Repeat the same for all the wraps.Heat oil for deep frying in a wok. Once oil turns hot, drop few cigars into hot oil and fry on medium heat until golden brown on all sides. Remove from oil and drain it on kitchen paper. Serve hot.Serve Tandoori Mayonnaise Chicken Cigar along with�Spicy Marinara Sauce�as a appetiser for your house party or as a tea time snack.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/4_main_Tandoori_Mayo_Chicken_Cigars_Recipe.jpg
15,Mushroom Pulav,Mushroom Pulav spiced up with green chillies and cinnamon makes a perfect one dish dinner that can be made under an hour.,Indian,Vegetarian,15,45,"To begin making the Mushroom Pulav recipe, wash and soak basmati rice in water for 1/2 an hour. Drain and keep aside.Heat ghee in a pressure cooker or sauce pan on medium heat. Once hot, add the caraway seeds and saute for a few seconds. Add chopped onions, green chilli and cinnamon stick and saute till onion turns golden brown.Now add the sliced mushroom along with turmeric and salt and saute till the mushrooms turn glossy and reduce in quantity. Mushrooms release a lot of water when cooked, so saute until the water evaporates.Add the cardamom, cloves, star anise and bay leaves and saute for a few minutes. Now add the basmati rice and stir constantly on a medium flame for 5 minutes till the rice turns glossy and starts crackling.Add the 2 cups of water and check for salt. (add more salt if necessary). Add chopped coriander and mint leaves.Cover the pan and once the mixture comes to a boil, turn the heat to low and simmer until all the water is absorbed. Turn off the heat and allow the rice to rest for about 5 minutes before opening.Heat ghee in a small pan; add the onion and saute until caremelized.Separate the rice with a fork without pressing it too much. Garnish with caremelized onions and roasted cashew and raisins.�Serve�Mushroom Pulav along with�Boondi raita�for a weekday lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Donna_George/mushrrom_rice_1600.jpg
16,Brinjal Capsicum Sabji,Brinjal Capsicum Sabji Recipe is an easy side dish recipe which accentuates the flavors of capsicum with eggplant or brinjal and tomatoes.,Indian,Vegetarian,10,15,"To prepare the simple Brinjal Capsicum Sabji Recipe, heat a pan with enough oil.Add chopped garlic and hing, sauté it for few seconds.Add brinjal and capsicum.Add all the dry spices, sauté and cover the lid. Let it semi cook by sautéing every few minutes once.Add chopped tomato and let it cook for 5-7 minutes (or until the veggies are desirable cooked).Add salt to taste, sauté and add chopped fresh coriander.Pack this Brinjal Capsicum Sabji Recipe with phulka/ chapati for a light lunch at office or school.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/23-may/Brinjal_Capsicum_Sabji_Recipe-3.jpg
17,Russian Radish Cucumber Salad,This simple Russian salad is very easy to make and can be a tasty healthy winter variety.,Continental,Eggetarian,15,1,"To begin making�Russian Radish Cucumber Salad Recipe, first wash the vegetables and soak in water for 15 minutes.Pat dry the vegetables on a kitchen towel and slice the radishes and cucumber finely in circular shapes.�Heat a heavy bottomed pan with some oil and fry the garlic pods on low flame till roasted.Take a big bowl and beat the curd with chives and sea salt.Add the garlic and vegetables to this bowl and mix until the yogurt coats well on all the vegetables. Refrigerate for 10 minutes.Meanwhile slice the hard boiled eggs. Take the vegetables out of the refrigerator and add the boiled eggs to it.�Now serve cold on a fancy platter garnish with fresh herbs.�Serve Russian Radish Cucumber Salad with Macaroni Minestrone Soup Pot Recipe� or a�Hearty Vegetable Tortilla Soup Recipe",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/ruby_pathak-yahoo.com/Russian_Raddish_Cucumber_Salad.jpg
18,Konkani Style Karate Batate Puddi Sagle - Bitter Gourd & Potato Curry,Karate Batate Puddi Sagle is a simple and delicious konkani style bitter gourd side dish.,Konkan,Vegetarian,10,30,"To begin making�Karate Batate Puddi Sagle, wash and cut the bitter gourds into small cubes, add a little salt, mix and leave it aside for 10 minutes. This will help in reducing the bitterness.Similarly, wash, deskin and cut the potatoes into cubes, put it into a bowl of water and set aside.Heat a heavy bottomed pan and dry roast the urad dal, red chillies, coriander seeds and fenugreek seeds till it turns aromatic.Now, grind the dry roasted spices along with the grated coconut and tamarind extract to a course mix using a hand blender.Heat oil in the same pan on medium flame, add the mustard seeds and let it splutter.Squeeze the water out of the bitter gourd and add it to the pan.�Also add the potatoes and saute on medium heat until its done. This will take around 10 minutes.Add the ground spice mix to the pan, season with salt and mix well.�Simmer for 5 minutes and switch off the flame.Serve the�Karate Batate Puddi Sagle�along with�Steamed Rice�and�Kollu Rasam Recipe (Nourishing HorseGram Stew)�with a cup of curd for a weeknight dinner.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/13-_april/Konkani_style_bitter_gourd_and_potato_subzi_recipe-2.jpg
19,Soto Ayam - Indonesian Chicken Noodle Meal bowl ,"Soto Ayam Recipe is an Indonesian bowl with various elements that includes a flavoursome coconut milk broth that is packed with fresh and earthy flavours from the lemon grass, kaffir lime leaves, ginger and garlic and whole spices like black pepper, and cumin seeds.�",Indonesian,High Protein Non Vegetarian,20,20,"To begin making the Soto Ayam Recipe/Indonesian Chicken Noodle Meal bowl, keep the elements ready.��Lemon wedgesBoil the Eggs and once boiled, peel and cut into 4 wedges.�Dip the bean sprouts in a bowl of hot water for about 2 minutes and drain the water. Keep the bean sprouts aside.�",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shyma_Menon/Soto_Ayam_Indonesian_Rice_Noodle_Chicken_Bowl_Recipe-6_1600.jpg
20,Mint Vegetables Moilee (Mixed Vegetables Cooked In Minty Coconut Milk),Moilee is a very traditional Kerala dish where the fish or vegetables are cooked in mildly spiced coconut milk.,Kerala Recipes,Vegetarian,15,20,"To begin making the Mint Vegetables Moilee recipe, scrape the coconut and extract the thick and thin coconut milk and keep aside.Heat oil in a wok/kadhai, once heated add the mustard seeds and let it splutter.Add the curry leaves and the thinly sliced onions and sauté till it gets translucent.Add the ginger and the sliced garlic pods and cook until the raw smell evaporates.Add the cubes vegetables, pepper powder and turmeric powder, and sauté for a minute.Add the thin coconut milk and let the vegetables cook with the lid on. This will take 5 to 6 minutes.Add the chopped tomatoes and let it cook for a minute.Once the vegetables are cooked, add the thick coconut milk and the mint paste and heat it for 2 minutes.Make sure you don't bring this mix to a boil at this stage else the coconut milk the curdle.Switch off the flame, season with salt and add the lemon juice.Serve the Mint Vegetables Moilee Recipe with�Appams�or�Idiyappams�or Steamed Rice for Sunday brunch.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Mint_Vegetables_Moilee_Mixed_Vegetables_Cooked_In_Minty_Coconut_Milk.jpg
21,Kohlrabi (Knol Khol Poriyal),Kohlrabi is commonly called as German kohl most popular in german speaking countries.,Indian,Vegetarian,10,15,"To begin making the Kohlrabi recipe, take kohlrabi and peel the outer fibrous part and cut into small squares.Heat oil in a heavy bottomed pan. When heated, add cumin seeds and mustard seeds. When they splutter, add a teaspoon of black urad dal.Saute until the dal tuurns brown. Now add in curry leaves, dry red chillies and turmeric powder.�After 1 minute, add sliced onions and fry till the onion becomes soft.Add tomato slices and cook till they become little soft. Add fresh peas followed by kohlrabi slices and mix everything.Now close the lid and cook for some more time mixing at regular intervalsAdd spices - coriander powder, red chilli powder and salt as per taste.Add dry dessicated coconut, mix everything and cook for few minutes by closing lid.Cook till kohlrabi slices become soft. Turn off the heat and garnish with coriander leaves.�Serve Kohlrabi along with�Dal Tadka�and�Steamed Rice�for a weekday meal with your family.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/neetha2687-gmail.com/kohl_rabiNol_khol_curry.jpg
22,5 Grain Greek Yogurt Fruit Parfait,"The nutrichoice 5 grain digestive are packed with the goodness of wheat, corn, rice, oats, ragi and honey adding to the fibre and giving a surplus dose of energy to the parfait.",Continental,High Protein Vegetarian,15,0,"To begin making the�5 Grain Greek Yogurt Fruit Parfait, first prep all the ingredients and keep it ready.Pulse the NutriChoice 5 Grain Digestive Biscuits in a mixer to make coarse crumbs and keep aside.Whisk the greek yogurt with honey and keep aside.Slice the seasoning fruits and keep aside.To assemble the 5 Grain Greek Yogurt Fruit Parfait, into a jar,�spoon the crumbled NutriChoice 5 grain digestive biscuits.Add 3 tablespoons greek yogurt,��layer with seasonal fruits, top it with a tablespoons of chia seeds, some more�greek yogurt and finally sprinkle biscuit crumble on top.The�5 Grain Greek Yogurt Fruit Parfait is now ready. Refrigerate it for at least 2 hours before serving.Serve the�5 Grain Greek Yogurt Fruit Parfait as a snack for your office or an evening snack at home.You can also serve the�5 Grain Greek Yogurt Fruit Parfait for breakfast along with Indian Style Masala Omelette Grilled Sandwich�for a wholesome breakfast.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/5_Grain_Greek_Yogurt_Fruit_Parfait_Recipe_full_1600.jpg
23,Malvani Kala Chana Masala - Spicy Kala Chana Curry,The Malvani Chana Masala is a delicious kala chana curry made by roasting the fresh spices and cooked in spicy tamarind gravy.,Maharashtrian Recipes,Vegetarian,10,30,"To begin making the Malvani Chana Masala Recipe, we will first keep the ingredients ready for the malvani masala.Preheat a pan over medium heat; add the spices for the malvani masala into the pan and roast for about a minute until you can smell the aromas coming through. You will also notice the spices change color, as they are getting roasted.Once roasted, allow the spices to cool.�Once cooled, blend them into a smooth powder and keep aside.In the meantime pressure cook the soaked chana for at least 6 to 10 whistle or for 25 minutes in a pressure cooker along with 3 cups of water and salt to taste. Turn off the heat and allow the pressure to release naturally.Once the kala chana is cooked, take out about 1/4 cup of cooked chana and blend it in a mixer to a coarse paste.�This is done to give a thick texture to the Malvani kala chana gravy.Once the chana is blended, keep it aside.Heat oil in a kadai over medium heat; add mustard seeds and cumin seeds and allow it to crackle for few seconds.Add chopped garlic and sauté till they soften. Add in the powdered Malvani masala onto the kadai and stir fry for a few seconds.��Stir in the ground kala chana masala paste, the cooked chana masala,�tamarind water, jaggery and cream and give it a stir.Check the salt and spices and adjust to taste accordingly. Add water if required to give the Malvani Kala Chana Masala a curry like consistency.Bring the�Malvani Kala Chana Masala to a brisk boil. Turn the heat to low and simmer the masala for about 5 minutes so the masalas get well incorporated into the�Kala Chana.Once done, turn off the heat and transfer the�Malvani Kala Chana Masala to a serving bowl and serve hot.Serve the�Malvani Chana�Masala Recipe�along with�Malabar Parotta,�Steamed Rice,�Beetroot, Carrot & Cucumber Salad with Peanuts�for lunch or dinner.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Malvani_Channa_Masala_Recipe_1600.jpg
