sno,name,description,cuisine,diet,prep_time (in mins),cook_time (in mins),instructions,image_url
11,Fettuccine Alfredo,Rich and creamy Fettuccine Alfredo is one of the easiest and most satisfying pasta dishes to make at home. Fresh cream is combined with parmesan cheese and butter to make a luscious Alfredo sauce in only minutes.,Italian,"Sattvic- No Onion, no Garlic",10,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.aheadofthyme.com/wp-content/uploads/2021/09/fettuccine-alfredo-768x1152.jpg
12,Chana Dal Vada Curry,Chana Dal Vada Curry is a delicious and flavorful South Indian dish that features deep-fried lentil dumplings (vadas) simmered in a spiced and tangy curry.,South Indian,Vegetarian,30,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2018/Masala_Vada_Curry_Recipe-13_1600.jpg
13,Raw Mango Methi Curry,"The dish combines the sourness of raw mangoes with the unique bitterness of fenugreek leaves, creating a delicious and aromatic curry.",Karnataka,Vegetarian,10,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Smitha-Kalluraya/Udid_Meti_Karwar_Style_Green_Mango_Curry_With_Methi.jpg
14,Tandoori Mayonnaise Chicken Cigar,Tandoori Mayonnaise Chicken Cigar is a delicious and innovative appetizer that combines the flavors of tandoori chicken with the creamy richness of mayonnaise.,Continental,Non Vegeterian,30,60,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Jyothi_Rajesh/4_main_Tandoori_Mayo_Chicken_Cigars_Recipe.jpg
15,Mushroom Pulav,Mushroom Pulav spiced up with green chillies and cinnamon makes a perfect one dish dinner that can be made under an hour.,Indian,Vegetarian,15,45,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Donna_George/mushrrom_rice_1600.jpg
16,Pan Fried Dumplings,"Pan-fried dumplings are a delectable Asian dish that marries a savory filling with a crispy exterior. dumplings are pan-fried to achieve a delightful contrast of textures � a golden, crisp bottom and a tender, juicy interior.",Chinese,Non Vegeterian,30,10,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://midwestfoodieblog.com/wp-content/uploads/2021/01/FINAL-vegan-dumplings-1-2.jpg
17,Chapali Kebab,"Chapli Kebab, hailing from the rich culinary heritage of Mughlai cuisine, is a delectable and aromatic dish that captivates with its bold flavors and satisfying textures. ",Mughlai,Non Vegeterian,20,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.teaforturmeric.com/wp-content/uploads/2022/04/Chapli-Kabab-12.jpg
18,Brinjal Capsicum Sabzi,Brinjal Capsicum Sabzi is an easy side dish recipe which accentuates the flavors of capsicum with eggplant or brinjal and tomatoes.,Indian,Vegetarian,10,15,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/23-may/Brinjal_Capsicum_Sabji_Recipe-3.jpg
19,Russian Radish Cucumber Salad,Russian Radish Cucumber Salad is a refreshing and crunchy salad that combines the peppery flavor of radishes with the crispness of cucumbers. ,Continental,Eggetarian,15,1,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://vikalinka.com/wp-content/uploads/2017/04/Cucumber-and-radish-salad-9-Edit.jpg
20,Bitter Gourd & Potato Curry,Bitter Gourd & Potato Curry is a flavorful and aromatic dish where bitter gourd (karela) and potatoes are cooked together in a spicy and tangy masala.,Konkan,Vegetarian,10,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2017/13-_april/Konkani_style_bitter_gourd_and_potato_subzi_recipe-2.jpg
21,Soto Ayam,"Soto Ayam Recipe is an Indonesian bowl with various elements that includes a flavoursome coconut milk broth that is packed with fresh and earthy flavours from the lemon grass, kaffir lime leaves, ginger and garlic and whole spices like black pepper, and cumin seeds.�",Indonesian,High Protein Non Vegetarian,20,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Shyma_Menon/Soto_Ayam_Indonesian_Rice_Noodle_Chicken_Bowl_Recipe-6_1600.jpg
22,Mint Vegetables Moilee,Moilee is a very traditional Kerala dish where the fish or vegetables are cooked in mildly spiced coconut milk.,Keralas,Vegetarian,15,20,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/Nithya_Anantham/Mint_Vegetables_Moilee_Mixed_Vegetables_Cooked_In_Minty_Coconut_Milk.jpg
23,Greek Yogurt Fruit Parfait,"The nutrichoice 5 grain digestive are packed with the goodness of wheat, corn, rice, oats, ragi and honey adding to the fibre and giving a surplus dose of energy to the parfait.",Continental,High Protein Vegetarian,15,0,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/0-Archanas-Kitchen-Recipes/2019/5_Grain_Greek_Yogurt_Fruit_Parfait_Recipe_full_1600.jpg
24,Malvani Kala Chana Curry,The Malvani Chana Masala is a delicious kala chana curry made by roasting the fresh spices and cooked in spicy tamarind gravy.,Maharashtrian ,Vegetarian,10,30,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/sibyl-archanaskitchen.com/Malvani_Channa_Masala_Recipe_1600.jpg
25,General Tso�s Chicken,"General Tso�s Chicken is that perfect combination of sweet, savoury, spicy and tangy with crispy Chinese chicken bites. It�s a Chinese takeout favourite that just pushes all the right buttons!",Chinese,Non Vegeterian,20,15,"To begin making the Lavand-E-Murgh Recipe, wash the chicken and drain all the excess water.Heat oil in a large, heavy-bottomed pan.�Add the whole garam masalas including cardamom, cinnamon, cloves to the oil. When they begin to splutter slightly, add the onions and green chillies. Cook onions until they turn light brown in colour.Add the ginger garlic paste and saute continuously for�a minute. Add the chicken and sprinkle the salt over it, mix well.Add the pepper powder, turmeric powder, garam masala powder to the chicken mixture and stir well. Ensure the chicken is coated well with the masala powders, stir evenly to coat all the chicken pieces. Cook for five minutes.Add coriander powder just before adding the curd, as coriander powder will thicken the gravy. Sprinkle some water if you feel the gravy has thickened too much.Discard excess water from yoghurt as we need a creamy consistency. Whisk the yoghurt with a spoon for a few seconds until its creamy. When the chicken is half cooked, stir the yogurt and add fresh coriander leaves to the chicken.Stir everything evenly to make sure the yogurt is mixed well with the masala mixture in the pan. Add half a glass of water which is about 100ml, cover with lid and cook on low flame for 15 minutes.Follow optional step given below or directly go to the last step.Last step: Remove from stove once gravy has thickened considerably and oil starts floating on top.�Garnish with pomegranate pellets.Optional Step - Microwave almonds for 1 min and remove the skin. Grind the almonds to a fine paste with 2 tablespoons of water and add to the chicken gravy just before removing it off the stove. Cook for a minute. This is done to add more richness and texture to the gravy.Serve�Lavand-E-Murgh along with�Whole Wheat Lachha Paratha��and�Burani Raita�for a simple yet delicious weekend meal.",https://www.recipetineats.com/wp-content/uploads/2020/10/General-Tsao-Chicken_1.jpg
26,Lamb Trotters,"Paya Curry is a recipe made of lamb trotters. South India is known for its spicy twist of Non vegetarian dishes, using almost every part of the animal to cook a meal. If you are a true blue foodie, you would have either dined or heard of traditional military hotels or a food mess serving some authentic, regional dishes that one cannot find in most of the commercial restaurants. These places do not offer an ambiance, you need to be an early riser to enjoy their menu and they are great on taste plus value for money.",South Indian ,Non Vegeterian,30,80,"To prepare Cauliflower Curry with Bell Peppers and Carrots in Spiced Milk Gravy, heat oil in a heavy bottomed pan; add in the cumin seeds and allow it to crackle. Once it does, add in the bell peppers and onions, saute until tender.Once tender, stir in the cardamom pods, tomato puree, turmeric powder, cumin powder, garam masala powder, red chilli powder. Saute until the tomatoes starts to bubble. Stir in the milk mixture and the steamed vegetables. Turn the heat to low, cover the pan and simmer for a about 5 minutes.Turn off the heat, stir in the chopped coriander leaves and serve Cauliflower Curry with Bell Peppers and Carrots in Spiced Milk Gravy�hot with phulkas.",https://www.archanaskitchen.com/images/archanaskitchen/1-Author/FlavorFlameFusion/Paya_Curry__Lamb_Trotters_recipe_edited1.jpg
27,Pumpkin Hummus,"Pumpkin Hummus Recipe is a dip that has a twist from the original classic hummus recipe. Hummus is a popular Middle Eastern dip with the main ingredients as chickpeas. The Pumpkin Hummus is a whole dip, packed with nutrition that can be served as a spread on sandwiches, wraps, along with pita bread, crackers or even veggie sticks. These are perfect make ahead spreads that can come in handy for a week day lunch box for kids.",Middle Eastern,High Protein Vegetarian,20,30,"To begin making the Pumpkin Hummus Recipe, we will first have to get the chickpea cooked to perfection. For this, soak the chickpeas for at least�6 to 8 hours and cook them until very soft. You can use the pressure cooker method for cooking the chickpeas. Click to watch the video of how to cook chickpea in the pressure cooker.You will know the chickpea is cooked to perfection, when you press it between your fingers, it will mash easily. Once the chickpeas are cooked well, drain the excess water and keep the water and chickpeas aside.�Make the pumpkin puree (Click to see how to make the homemade pumpkin puree recipe)Add the chickpeas and the remaining ingredients into a food processor and blend to make a smooth paste. The texture is a personal choice, you can choose to have it lightly coarse or make it extremely smooth. Add a little bit of the chickpea water if required to blend well.�Once done, transfer the hummus to the serving bowl and�garnish the Pumpkin Hummus with olive oil, a sprig of coriander or parsley and sprinkle some chili powder on top.Serve the Pumpkin Hummus with pita bread, crackers or veggie sticks or even as a spread for sandwiches and wraps.",https://www.archanaskitchen.com/images/archanaskitchen/World_Dips/Pumpkin_Hummus_Recipe-2.jpg
